File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\mooi-lake\blue-room1web.jpg,488.62 KB,50.48 KB,438.13 KB,89.7%,1110x740,✅ Success
villas\mooi-lake\awb.web.jpg,347.96 KB,52.53 KB,295.44 KB,84.9%,904x617,✅ Success
villas\lourmarin\hero.jpg,479.40 KB,45.16 KB,434.23 KB,90.6%,858x572,✅ Success
villas\lourmarin\DSC09984.WEB.jpg,473.57 KB,97.87 KB,375.70 KB,79.3%,690x460,✅ Success
villas\lourmarin\DSC06916WEB.jpg,497.58 KB,63.26 KB,434.31 KB,87.3%,858x572,✅ Success
villas\lourmarin\DSC06853WEB.jpg,474.41 KB,31.82 KB,442.59 KB,93.3%,888x592,✅ Success
villas\lourmarin\DSC06844WEB.jpg,472.29 KB,40.72 KB,431.56 KB,91.4%,900x600,✅ Success
villas\lourmarin\DSC06692WEB.jpg,487.95 KB,51.55 KB,436.41 KB,89.4%,899x599,✅ Success
villas\lourmarin\DSC06663WEB.jpg,494.52 KB,64.35 KB,430.17 KB,87.0%,876x584,✅ Success
villas\lourmarin\DSC06614WEB.jpg,445.59 KB,63.25 KB,382.35 KB,85.8%,960x640,✅ Success
villas\lourmarin\DSC06545WEB.jpg,479.40 KB,45.16 KB,434.23 KB,90.6%,858x572,✅ Success
villas\olinda\hero.jpg,559.21 KB,148.96 KB,410.25 KB,73.4%,900x600,✅ Success
villas\olinda\DSC01065.WEB.jpg,607.88 KB,178.49 KB,429.38 KB,70.6%,600x900,✅ Success
villas\olinda\DSC01065.WEB (2).jpg,559.21 KB,148.96 KB,410.25 KB,73.4%,900x600,✅ Success
villas\olinda\DSC00931WEB.jpg,394.24 KB,77.58 KB,316.66 KB,80.3%,900x600,✅ Success
villas\olinda\DSC00789WEB.jpg,396.71 KB,55.83 KB,340.88 KB,85.9%,900x600,✅ Success
villas\olinda\DSC00630WEB.jpg,326.94 KB,43.16 KB,283.78 KB,86.8%,900x600,✅ Success
villas\olinda\DSC00629WEB.jpg,311.94 KB,54.34 KB,257.60 KB,82.6%,600x900,✅ Success
villas\olinda\DSC00446WEB.jpg,258.58 KB,50.90 KB,207.68 KB,80.3%,900x600,✅ Success
villas\olinda\DSC00382WEB.jpg,274.22 KB,55.52 KB,218.71 KB,79.8%,900x600,✅ Success
villas\lophantera\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\lophantera\jalan-kb-(10)web.jpg,534.62 KB,161.56 KB,373.05 KB,69.8%,571x856,✅ Success
villas\lophantera\AWB_4720WEB.jpg,482.14 KB,52.10 KB,430.04 KB,89.2%,1028x684,✅ Success
villas\lophantera\AWB_4712WEB.jpg,488.85 KB,61.63 KB,427.22 KB,87.4%,956x636,✅ Success
villas\lophantera\AWB_4702.WEB.jpg,380.79 KB,39.90 KB,340.89 KB,89.5%,907x603,✅ Success
villas\lophantera\AWB_4690-editWEB.jpg,483.44 KB,61.61 KB,421.83 KB,87.3%,1028x578,✅ Success
villas\lophantera\5.-BedroomWEB.jpg,331.26 KB,30.96 KB,300.31 KB,90.7%,889x592,✅ Success
villas\lophantera\4.-Detail-BedroomWEB.jpg,396.26 KB,44.68 KB,351.58 KB,88.7%,907x603,✅ Success
villas\kigelia\KB---View-5WEB.jpg,481.65 KB,107.16 KB,374.49 KB,77.8%,691x389,✅ Success
villas\kigelia\KB---View-2WEB.jpg,436.75 KB,87.15 KB,349.60 KB,80.0%,710x399,✅ Success
villas\kigelia\AWB_4683WEB.jpg,458.36 KB,59.75 KB,398.61 KB,87.0%,907x603,✅ Success
villas\kigelia\AWB_4678WEB.jpg,456.97 KB,42.32 KB,414.65 KB,90.7%,1009x671,✅ Success
villas\kigelia\AWB_4647WEB.jpg,407.49 KB,54.88 KB,352.61 KB,86.5%,907x603,✅ Success
villas\kigelia\5.-BedroomWEB.jpg,463.78 KB,41.73 KB,422.05 KB,91.0%,1011x673,✅ Success
villas\kigelia\3.-Bedroom-View-WEB.jpg,389.17 KB,54.93 KB,334.25 KB,85.9%,894x503,✅ Success
villas\gordes\hero.jpg,479.25 KB,61.80 KB,417.44 KB,87.1%,1038x692,✅ Success
villas\gordes\DSC07573(1).WEB.jpg,479.03 KB,91.11 KB,387.92 KB,81.0%,709x473,✅ Success
villas\gordes\DSC06397WEB.jpg,401.81 KB,59.86 KB,341.95 KB,85.1%,882x585,✅ Success
villas\gordes\DSC06348WEB.jpg,486.58 KB,53.13 KB,433.45 KB,89.1%,974x649,✅ Success
